date,number,name,rating,n_reviews,price
2021-02-01,28,Echo Show 8 -- HD smart display with Alexa – stay connected with video calling - Charcoal,4.8,"163,295",$129.99
2021-02-01,29,"Acer SB220Q bi 21.5 Inches Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Monitor (HDMI & VGA Port), Black",4.7,"26,128",$93.99
2021-02-01,30,"Apple TV 4K (32GB, Latest Model)",4.8,"17,671",$169.00
2021-02-01,31,amFilm Tempered Glass Screen Protector for Nintendo Switch 2017 (2-Pack),4.8,"70,062",$6.79
2021-02-01,32,"TP-Link AC1750 Smart WiFi Router (Archer A7) - Dual Band Gigabit Wireless Internet Router for Home, Works with Alexa…",4.5,"39,456",$59.99
2021-02-01,33,"Fire 7 Kids Edition Tablet, 7"" Display, 16 GB, Blue Kid-Proof Case",4.6,"143,558",$99.99
2021-02-01,34,"Apple Watch Series 3 (GPS, 38mm) - Silver Aluminum Case with White Sport Band",4.8,"105,809",$169.00
2021-02-01,35,Nintendo Switch with Neon Blue and Neon Red Joy‑Con - HAC-001(-01),4.9,"58,462",$369.99
2021-02-01,36,"Cord Cover Raceway Kit, 157in Cable Cover Channel, Paintable Cord Concealer System Cable Hider, Cord Wires, Hiding Wall…",4.5,"12,168",$17.99
2021-02-01,37,"Power Strip with USB, TESSAN Mountable Flat Plug Extension Cord with 4 Widely Spaced Outlets, 3 USB Charger, 5 FT Power…",4.8,"14,399",$18.99
2021-02-01,38,"Apple Watch Series 3 (GPS, 38mm) - Space Gray Aluminium Case with Black Sport Band",4.8,"105,809",$169.00
2021-02-01,39,"Wyze Cam Pan 1080p Pan/Tilt/Zoom Wi-Fi Indoor Smart Home Camera with Night Vision, 2-Way Audio, Works with Alexa & the…",4.5,"56,726",$37.95
2021-02-01,40,"APEMAN Dash Cam 1080P FHD DVR Car Driving Recorder 3 Inch LCD Screen 170° Wide Angle, G-Sensor, WDR, Parking Monitor…",4.4,"23,430",$44.99
2021-02-01,41,"USB Wall Charger, Surge Protector, POWRUI 6-Outlet Extender with 2 USB Charging Ports (2.4A Total) and Night Light, 3…",4.7,"22,597",$19.97
2021-02-01,42,"VELCRO Brand ONE-WRAP Cable Ties | 100Pk | 8 x 1/2"" Black Cord Organization Straps | Thin Pre-Cut Design | Wire…",4.8,"21,864",$11.58
2021-02-01,43,Carnival Games Nintendo Switch,4.4,"11,679",$14.99
2021-02-01,44,"Fire HD 8 Kids Edition tablet, 8"" HD display, 32 GB, Blue Kid-Proof Case",4.7,"59,374",$139.99
2021-02-01,45,"Acer Aspire 5 Slim Laptop, 15.6 inches Full HD IPS Display, AMD Ryzen 3 3200U, Vega 3 Graphics, 4GB DDR4, 128GB SSD…",4.6,"23,983",$364.99
2021-02-01,46,"NETGEAR Nighthawk Smart Wi-Fi Router, R6700 - AC1750 Wireless Speed Up to 1750 Mbps | Up to 1500 Sq Ft Coverage & 25…",4.3,"67,704",$78.39
2021-02-01,47,"Fitbit Versa 2 Health and Fitness Smartwatch with Heart Rate, Music, Alexa Built-In, Sleep and Swim Tracking, Black…",4.6,"87,036",$148.95
2021-02-01,48,"Certified Refurbished Fire TV Stick 4K with Alexa Voice Remote, streaming media player",4.6,"10,921",$34.99
2021-02-01,49,"GE 6 Outlet Power Strip, 8 Ft Long Extension Cord, Grounded Outlets, UL Listed, White, 14832",4.7,"13,024",$7.99
2021-02-01,50,Echo Auto- Hands-free Alexa in your car with your phone,4.0,"95,716",$24.99
2021-02-01,51,"New Apple iPad (10.2-inch, Wi-Fi, 32GB) - Gold (Latest Model, 8th Generation)",4.9,"22,062",$299.00
2021-02-01,52,"Ring Stick Up Cam Battery HD security camera with custom privacy controls, Simple setup, Works with Alexa - Black",4.6,"24,990",$99.99
2021-02-01,53,"TCL 32"" 3-Series 720p Roku Smart TV - 32S335",4.6,"40,058",$128.00
2021-02-01,54,Kindle - Now with a Built-in Front Light - Black - Ad-Supported + Kindle Unlimited (with auto-renewal),4.6,"31,044",$89.99
2021-02-01,55,SUPERDANNY USB Surge Protector Power Strip Mountable Extension Cord Multiple Protection 5 Outlet 3 USB Port with Hook…,4.8,"15,489",$16.99
2021-02-01,56,Fire TV Cube | Hands-free streaming device with Alexa | 4K Ultra HD | 2019 release,4.6,"36,927",$104.99
2021-02-01,57,"Majority Bowfell Small Sound Bar for TV with Bluetooth, RCA, USB, Opt, AUX Connection, Mini Sound/Audio System for TV…",4.2,"3,493",$36.95
2021-02-01,58,Nintendo Switch AC Adapter,4.8,"7,001",$26.88
2021-02-01,59,"GE, White, 6 Outlet 2 Pack, 2 Ft Cord, Switched Power Strip, Integrated Circuit Breaker, Overload Protection, Wall…",4.7,"13,024",$12.42
2021-02-01,60,Victure 1080P 4Pcs Indoor Security Camera System Home Monitor with 2.4Ghz Pet/Baby/Nanny Security Surveillance Camera…,4.3,"10,465",$33.99
2021-02-01,61,"Apple iPad mini (Wi-Fi, 64GB) - Silver (Latest Model)",4.8,"12,129",$334.99
2021-02-01,62,Super Mario 3D All-Stars - Nintendo Switch,4.8,"33,272",Not available
2021-02-01,63,"Anker Power Strip with USB, PowerPort Cube USB with 3 Outlets and 3 USB Ports, 5 ft Extension Cord, Portable Design…",4.8,"24,754",$16.14
2021-02-01,64,"Willful Smart Watch for Android Phones and iOS Phones Compatible iPhone Samsung, IP68 Swimming Waterproof Smartwatch…",4.3,"27,841",$35.99
2021-02-01,65,"Hmrope 100pcs Cable Zip Ties Heavy Duty 8 Inch, Premium Plastic Wire Ties with 50 Pounds Tensile Strength, Self-Locking…",4.7,"6,936",$6.29
2021-02-01,66,"Ear Wax Removal Endoscope Otoscope, Earwax Remover Tools, Scope, with 1080P FHD Camera, 6 Led Lights, Wireless Connected…",4.6,"1,589",$38.98
2021-02-01,67,"Surge Protector Wall Mount , Outlet Splitter with Rotating Plug, POWERIVER Power Strip with 6 Outlet Extender (3 Side…",4.6,"8,847",$15.98
2021-02-01,68,"Power Strip,Witeem Surge Protector with 12-Outlet (1875W/15A,4360Joules) and 4 USB Charging Ports (5V/6A,30W),6Ft…",4.8,"8,919",$26.99
2021-02-01,69,"Sceptre 20"" 1600x900 75Hz Ultra Thin LED Monitor 2x HDMI VGA Built-in Speakers, Machine Black Wide Viewing Angle 170…",4.5,"12,502",$79.97
2021-02-01,70,"TCL 4K Smart LED TV, 50"" (50S435)",4.6,"1,830",$299.99
2021-02-01,71,"Tile Slim (2020) 1-pack - Slim & Sleek Bluetooth Tracker, Item Locator and Finder for Wallets, Passports and Electronic…",4.6,"16,514",$23.99
2021-02-01,72,"Fujifilm INSTAX Mini Instant Film 2 Pack = 20 Sheets (White) for Fujifilm Mini 8 & Mini 9 Cameras, Model:4332059078",4.7,"14,459",$15.99
2021-02-01,73,"Mpow BH129 Bluetooth Receiver for Car, Aux Bluetooth Car Adapter 5.0 for Wired Speakers/Headphones/Home Music Streaming…",4.4,"20,001",$12.48
2021-02-01,74,Insignia NS-32DF310NA19 32-inch Smart HD TV - Fire TV Edition,4.7,"29,360",$139.99
2021-02-01,75,"HeimVision Sunrise Alarm Clock, A80S Smart Wake up Light Work with Alexa, Sleep Aid Digital Alarm Clock with Sunset…",4.4,"9,510",$45.99
2021-02-01,76,Alex Tech 10ft - 1/2 inch Cord Protector Wire Loom Tubing Cable Sleeve Split Sleeving For USB Cable Power Cord Audio…,4.7,"13,605",$9.99
2021-02-01,77,PASOW 50pcs Cable Ties Reusable Fastening Wire Organizer Cord Rope Holder 7 Inch (Black),4.7,"14,237",$7.99
2021-02-01,78,"HP VH240a 23.8-Inch Full HD 1080p IPS LED Monitor with Built-In Speakers and VESA Mounting, Rotating Portrait…",4.7,"19,433",$124.99
2021-02-01,79,"USB Wall Charger, Surge Protector, 5 Outlet Extender with 4 USB Charging Ports ( 1 USB C Outlet, 4.5A Total) 3-Sided…",4.8,"3,131",$19.99
2021-02-01,80,Apple 85W MagSafe 2 Power Adapter (for MacBook Pro with Retina display),4.7,"4,422",$53.99
2021-02-01,81,"Fire HD 10 Tablet (10.1"" 1080p full HD display, 32 GB) – Black",4.6,"151,392",$149.99
2021-02-01,82,"Power Strip with USB C, 3 Outlets 4 USB Ports (22.5W/4.5A) Desktop Charging Station, Flat Plug, 5ft Braided Extension…",4.8,"4,594",$17.99
2021-02-01,83,"Ring Spare Parts Kit for Floodlight Cam, Black",4.7,918,$1.99
2021-02-01,84,"GE, White, 6 Outlet Surge Protector, 8 Ft Extension Cord, Power Strip, 800 Joules, Flat Plug, Twist-To-Close Safety…",4.8,"45,304",$10.04
2021-02-01,85,NETGEAR Nighthawk Cable Modem Wi-Fi Router Combo C7000-Compatible with Cable Providers Including Xfinity by Comcast…,4.4,"13,781",$169.99
2021-02-01,86,Pankoo 40X60 Monocular High Power Monocular Scope for Bird Watching Traveling Concert Sports Game with Phone Adapter…,4.3,"3,125",$28.00
2021-02-01,87,"Fire HD 8 Plus tablet, HD display, 32 GB, our best 8"" tablet for portable entertainment, Slate",4.5,"15,583",$109.99
2021-02-01,88,Video Camera Camcorder Digital Camera Recorder kicteck Full HD 1080P 15FPS 24MP 3.0 Inch 270 Degree Rotation LCD 16X…,4.2,"6,628",$63.99
2021-02-01,89,"Ring Spotlight Cam Battery HD Security Camera with Built Two-Way Talk and a Siren Alarm, Black, Works with Alexa",4.6,"18,595",$199.99
2021-02-01,90,Super Smash Bros. Ultimate - Nintendo Switch,4.9,"38,645",Not available
2021-02-01,91,"Dell 27 LED backlit LCD Monitor SE2719H IPS Full HD 1080p 1920 x 1080 at 60 Hz HDMI VGA,Black",4.7,"5,752",$149.98
2021-02-01,92,"YI Security Home Camera Baby Monitor, 1080p WiFi Smart Wireless Indoor Nanny IP Cam with Night Vision, 2-Way Audio…",4.3,"37,418",$22.49
2021-02-01,93,"GE Power Strip Surge Protector, 6 Outlets, Flat Plug, 2ft Power Cord, Wall Mount, White, 40532",4.7,"3,522",$9.88
2021-02-01,94,"Mac Book Pro Charger, Replacement AC 60W Power Adapter, 60W White Charger L-Tip Magnetic Connector Compatible for Mac…",4.8,550,$22.98
2021-02-01,95,"300 PCS Stickers Pack (50-850Pcs/Pack), Colorful Waterproof Stickers for Flask, Laptop, Phone, Water Bottle, Cute…",4.6,"3,299",$13.89
2021-02-01,96,Kindle Oasis – Now with adjustable warm light – Ad-Supported + Kindle Unlimited (with auto-renewal),4.6,"12,948",$249.99
2021-02-01,97,"Apple Lightning to HDMI Digital AV Adapter,[Apple MFi Certified] 1080P HDMI Sync Screen Digital Audio AV Converter with…",3.7,"3,098",$18.99
2021-02-01,98,"All-new Blink Indoor – wireless, HD security camera with two-year battery life, motion detection, and two-way audio – 1…",4.5,"2,092",$66.49
2021-02-01,99,"Anker Power Strip with USB PowerExtend USB 2 mini, 2 Outlets, and 2 USB Ports, Flat Plug, 5 ft Extension Cord, Safety…",4.8,"8,351",$13.99
2021-02-01,100,"12"" Inch Zip Ties White (100 Pack), 40lb Strength, Nylon Cable Wire Ties, By Bolt Dropper.",4.7,"6,648",$5.39
2021-02-02,1,Fire TV Stick 4K streaming device with Alexa Voice Remote | Dolby Vision | 2018 release,4.7,"514,384",$39.99
2021-02-02,2,"Ring Video Doorbell 2 (Used-Acceptable Condition), with HD Video, Motion Activated Alerts, Easy Installation",3.0,4,$99.99
2021-02-02,3,Echo Show 5 -- Smart display with Alexa – stay connected with video calling - Charcoal,4.6,"299,625",$44.99
2021-02-02,4,Roku Streaming Stick+ | HD/4K/HDR Streaming Device with Long-range Wireless and Voice Remote with TV Controls,4.7,"63,000",$39.00
2021-02-02,5,"All-new Echo Dot (4th Gen, 2020 release) | Smart speaker with Alexa | Charcoal",4.7,"140,689",$44.99
2021-02-02,6,"New Apple Watch Series 6 (GPS, 44mm) - Space Gray Aluminum Case with Black Sport Band",4.8,"19,268",$379.98
2021-02-02,7,"Roku Premiere | HD/4K/HDR Streaming Media Player, Simple Remote and Premium HDMI Cable",4.7,"55,054",$24.99
2021-02-02,8,"Fire 7 tablet (7"" display, 16 GB) - Black",4.4,"153,275",$49.99
2021-02-02,9,"Amazon Smart Plug, works with Alexa – A Certified for Humans Device",4.7,"330,127",$24.99
2021-02-02,10,Roku Express | HD Streaming Media Player with High Speed HDMI Cable and Simple Remote,4.8,"82,064",$29.99
2021-02-02,11,Kindle Paperwhite – Now Waterproof with more than 2x the Storage – Ad-Supported + Kindle Unlimited (with auto-renewal),4.6,"92,719",$129.99
2021-02-02,12,"Wyze Cam 1080p HD Indoor WiFi Smart Home Camera with Night Vision, 2-Way Audio, Works with Alexa & the Google Assistant…",4.5,"99,688",$25.98
2021-02-02,13,All-new Echo Dot (4th Gen) | Smart speaker with clock and Alexa | Glacier White,4.8,"29,798",$54.99
2021-02-02,14,HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and VESA Mounting - Height…,4.7,"7,570",$109.99
2021-02-02,15,"GE 6 Outlet Surge Protector, 10 Ft Extension Cord, Power Strip, 800 Joules, Flat Plug, Twist-to-Close Safety Covers…",4.8,"44,968",$14.00
2021-02-02,16,"All-new Blink Outdoor – wireless, weather-resistant HD security camera with two-year battery life and motion detection…",4.5,"25,449",$89.99
2021-02-02,17,"Fujifilm Instax Mini Instant Film, 10 Sheets×5 Pack(Total 50 Shoots)",4.8,"29,028",$34.95
2021-02-02,18,"Apple iPad Mini (Wi-Fi, 64GB) - Space Gray (Latest Model)",4.8,"12,183",$334.99
2021-02-02,19,Fujifilm Instax Mini Instant Film Twin Pack (White),4.8,"51,223",$13.38
2021-02-02,20,Sabrent 4-Port USB 2.0 Hub with Individual LED lit Power Switches (HB-UMLS),4.6,"54,279",$7.99
2021-02-02,21,"Acer SB220Q bi 21.5 Inches Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Monitor (HDMI & VGA Port), Black",4.7,"26,246",$93.99
2021-02-02,22,"Roku Ultra 2020 | Streaming Media Player HD/4K/HDR/Dolby Vision with Dolby Atmos, Bluetooth Streaming, and Roku Voice…",4.7,"4,812",$73.46
2021-02-02,23,"Fire HD 8 tablet, 8"" HD display, 32 GB, designed for portable entertainment, Black",4.6,"71,932",$89.99
2021-02-02,24,"All-new Echo (4th Gen) | With premium sound, smart home hub, and Alexa | Charcoal",4.7,"28,184",$89.99
2021-02-02,25,Nintendo Switch Pro Controller,4.9,"35,622",Not available
2021-02-02,26,"OHill Cable Clips, 16 Pack Black Cord Organizer Cable Management for Organizing Cable Cords Home and Office, Self…",4.5,"23,595",$7.99
2021-02-02,27,"TP-Link AC1750 Smart WiFi Router (Archer A7) - Dual Band Gigabit Wireless Internet Router for Home, Works with Alexa…",4.5,"39,582",$56.99
2021-02-02,28,amFilm Tempered Glass Screen Protector for Nintendo Switch 2017 (2-Pack),4.8,"70,261",$6.79
2021-02-02,29,All-new Echo Show 10 (3rd Gen) | HD smart display with motion and Alexa | Charcoal,Not available,No customer reviews yet,$249.99
2021-02-02,30,"Blink Mini – Compact indoor plug-in smart security camera, 1080 HD video, night vision, motion detection, two-way audio…",4.5,"74,470",$34.99
2021-02-02,31,"Fire 7 Kids Edition Tablet, 7"" Display, 16 GB, Blue Kid-Proof Case",4.6,"143,850",$99.99
2021-02-02,32,"Apple TV 4K (32GB, Latest Model)",4.8,"17,732",$169.00
2021-02-02,33,Just Dance 2021 - Nintendo Switch Standard Edition,4.8,"10,823",$29.83
2021-02-02,34,"Apple Watch Series 3 (GPS, 38mm) - Space Gray Aluminum Case with Black Sport Band",4.8,"106,212",$169.00
2021-02-02,35,"New Apple Watch Series 6 (GPS, 44mm) - Gold Aluminum Case with Pink Sand Sport Band",4.8,"19,268",$473.94
2021-02-02,36,"Apple iPad mini (Wi-Fi, 64GB) - Silver (Latest Model)",4.8,"12,183",$308.19
2021-02-02,37,"Apple Watch Series 3 (GPS, 38mm) - Silver Aluminum Case with White Sport Band",4.8,"106,212",$169.00
2021-02-02,38,"Acer Aspire 5 Slim Laptop, 15.6 inches Full HD IPS Display, AMD Ryzen 3 3200U, Vega 3 Graphics, 4GB DDR4, 128GB SSD…",4.6,"24,069",$364.99
2021-02-02,39,"Fitbit Versa 2 Health and Fitness Smartwatch with Heart Rate, Music, Alexa Built-In, Sleep and Swim Tracking, Black…",4.6,"87,333",$148.95
2021-02-02,40,"Power Strip with USB, TESSAN Mountable Flat Plug Extension Cord with 4 Widely Spaced Outlets, 3 USB Charger, 5 FT Power…",4.8,"14,477",$18.99
2021-02-02,41,"New Apple iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (Latest Model, 8th Generation)",4.9,"22,316",Not available
2021-02-02,42,"Wyze Cam Pan 1080p Pan/Tilt/Zoom Wi-Fi Indoor Smart Home Camera with Night Vision, 2-Way Audio, Works with Alexa & the…",4.5,"56,859",$37.95
2021-02-02,43,"Cord Cover Raceway Kit, 157in Cable Cover Channel, Paintable Cord Concealer System Cable Hider, Cord Wires, Hiding Wall…",4.5,"12,221",$17.99
2021-02-02,44,"New Apple Watch Series 6 (GPS, 40mm) - Gold Aluminum Case with Pink Sand Sport Band",4.8,"19,268",$349.98
2021-02-02,45,"New Apple iPad (10.2-inch, Wi-Fi, 32GB) - Gold (Latest Model, 8th Generation)",4.9,"22,316",$299.00
2021-02-02,46,Super Mario 3D All-Stars - Nintendo Switch,4.8,"33,442",Not available
2021-02-02,47,"Fire HD 8 Kids Edition tablet, 8"" HD display, 32 GB, Blue Kid-Proof Case",4.7,"59,803",$139.99
2021-02-02,48,"USB Wall Charger, Surge Protector, POWRUI 6-Outlet Extender with 2 USB Charging Ports (2.4A Total) and Night Light, 3…",4.7,"22,691",$19.97
2021-02-02,49,"Amazon Basics Microwave, Small, 0.7 Cu. Ft, 700W, Works with Alexa",4.4,"22,438",$59.99
2021-02-02,50,"Roku Smart Soundbar, 4K/HD/HDR Streaming Media Player & Exceptional Audio Includes Roku Voice Remote",4.6,"2,214",$169.94
2021-02-02,51,"VELCRO Brand ONE-WRAP Cable Ties | 100Pk | 8 x 1/2"" Black Cord Organization Straps | Thin Pre-Cut Design | Wire…",4.8,"21,914",$11.58
2021-02-02,52,Nintendo Switch with Neon Blue and Neon Red Joy‑Con - HAC-001(-01),4.9,"58,706",$299.99
2021-02-02,53,"TCL 32"" 3-Series 720p Roku Smart TV - 32S335",4.6,"40,253",$128.00
2021-02-02,54,"GE 6 Outlet Power Strip, 8 Ft Long Extension Cord, Grounded Outlets, UL Listed, White, 14832",4.7,"13,079",$7.99
2021-02-02,55,"Certified Refurbished Fire TV Stick 4K with Alexa Voice Remote, streaming media player",4.6,"10,968",$34.99
2021-02-02,56,"HeimVision Sunrise Alarm Clock, A80S Smart Wake up Light Work with Alexa, Sleep Aid Digital Alarm Clock with Sunset…",4.4,"9,553",$45.99
2021-02-02,57,Echo Auto- Hands-free Alexa in your car with your phone,4.0,"96,134",$24.99
2021-02-02,58,"NETGEAR Nighthawk Smart Wi-Fi Router, R6700 - AC1750 Wireless Speed Up to 1750 Mbps | Up to 1500 Sq Ft Coverage & 25…",4.3,"67,806",$77.48
2021-02-02,59,"Ring Stick Up Cam Battery HD security camera with custom privacy controls, Simple setup, Works with Alexa - Black",4.6,"25,081",$99.99
2021-02-02,60,"Anker Power Strip with USB, PowerPort Cube USB with 3 Outlets and 3 USB Ports, 5 ft Extension Cord, Portable Design…",4.8,"24,864",$16.14
2021-02-02,61,SUPERDANNY USB Surge Protector Power Strip Mountable Extension Cord Multiple Protection 5 Outlet 3 USB Port with Hook…,4.8,"15,552",$16.99
2021-02-02,62,Victure 1080P 4Pcs Indoor Security Camera System Home Monitor with 2.4Ghz Pet/Baby/Nanny Security Surveillance Camera…,4.3,"10,513",$33.99
2021-02-02,63,Kindle - Now with a Built-in Front Light - Black - Ad-Supported + Kindle Unlimited (with auto-renewal),4.6,"31,117",$89.99
2021-02-02,64,"Cable Clips - Cord Organizer - Cable Management - Wire Holder System - 6 Pack Adhesive Cord Hooks - Home, Office…",4.3,"12,934",$7.97
2021-02-02,65,All-New Insignia NS-24DF310NA21 24-inch Smart HD 720p TV - Fire TV Edition,4.6,"4,684",$99.99
2021-02-02,66,Carnival Games Nintendo Switch,4.4,"11,755",$14.99
2021-02-02,67,"Mpow BH129 Bluetooth Receiver for Car, Aux Bluetooth Car Adapter 5.0 for Wired Speakers/Headphones/Home Music Streaming…",4.4,"20,071",$12.48
2021-02-02,68,"APEMAN Dash Cam 1080P FHD DVR Car Driving Recorder 3 Inch LCD Screen 170° Wide Angle, G-Sensor, WDR, Parking Monitor…",4.4,"23,506",$44.99
2021-02-02,69,Nintendo Switch AC Adapter,4.8,"7,044",$26.88
2021-02-02,70,"GE, White, 6 Outlet 2 Pack, 2 Ft Cord, Switched Power Strip, Integrated Circuit Breaker, Overload Protection, Wall…",4.7,"13,079",$12.49
2021-02-02,71,"Sceptre 20"" 1600x900 75Hz Ultra Thin LED Monitor 2x HDMI VGA Built-in Speakers, Machine Black Wide Viewing Angle 170…",4.5,"12,549",$79.97
2021-02-02,72,"Majority Bowfell Small Sound Bar for TV with Bluetooth, RCA, USB, Opt, AUX Connection, Mini Sound/Audio System for TV…",4.2,"3,529",$36.95
2021-02-02,73,Fire TV Cube | Hands-free streaming device with Alexa | 4K Ultra HD | 2019 release,4.6,"37,092",$104.99
2021-02-02,74,"HP VH240a 23.8-Inch Full HD 1080p IPS LED Monitor with Built-In Speakers and VESA Mounting, Rotating Portrait…",4.7,"19,468",$124.99
2021-02-02,75,"Tile Slim (2020) 1-pack - Slim & Sleek Bluetooth Tracker, Item Locator and Finder for Wallets, Passports and Electronic…",4.6,"16,592",$23.99
2021-02-02,76,"Power Strip,Witeem Surge Protector with 12-Outlet (1875W/15A,4360Joules) and 4 USB Charging Ports (5V/6A,30W),6Ft…",4.8,"8,949",$26.99
2021-02-02,77,"Surge Protector Wall Mount , Outlet Splitter with Rotating Plug, POWERIVER Power Strip with 6 Outlet Extender (3 Side…",4.6,"8,880",$15.98
2021-02-02,78,"Hmrope 100pcs Cable Zip Ties Heavy Duty 8 Inch, Premium Plastic Wire Ties with 50 Pounds Tensile Strength, Self-Locking…",4.7,"6,968",$6.29
2021-02-02,79,"Willful Smart Watch for Android Phones and iOS Phones Compatible iPhone Samsung, IP68 Swimming Waterproof Smartwatch…",4.3,"28,086",$35.99
2021-02-02,80,Apple 85W MagSafe 2 Power Adapter (for MacBook Pro with Retina Display),4.7,"4,443",$53.99
2021-02-02,81,Insignia NS-32DF310NA19 32-inch Smart HD TV - Fire TV Edition,4.7,"29,477",$129.99
2021-02-02,82,"Mac Book Pro Charger, Replacement AC 60W Power Adapter, 60W White Charger L-Tip Magnetic Connector Compatible for Mac…",4.8,564,$21.98
2021-02-02,83,"Fujifilm INSTAX Mini Instant Film 2 Pack = 20 Sheets (White) for Fujifilm Mini 8 & Mini 9 Cameras, Model:4332059078",4.7,"14,533",$15.99
2021-02-02,84,Hyrule Warriors: Age of Calamity - Nintendo Switch,4.8,"9,258",Not available
2021-02-02,85,"All-New Insignia NS-43DF710NA21 43-inch Smart 4K UHD - Fire TV Edition, Released 2020",4.6,"9,068",$249.99
2021-02-02,86,NETGEAR Nighthawk Cable Modem Wi-Fi Router Combo C7000-Compatible with Cable Providers Including Xfinity by Comcast…,4.4,"13,817",$169.99
2021-02-02,87,"Dell 27 LED backlit LCD Monitor SE2719H IPS Full HD 1080p 1920 x 1080 at 60 Hz HDMI VGA,Black",4.7,"5,781",$167.99
2021-02-02,88,"12"" Inch Zip Ties White (100 Pack), 40lb Strength, Nylon Cable Wire Ties, By Bolt Dropper.",4.7,"6,672",$5.39
2021-02-02,89,"Ring Spare Parts Kit for Floodlight Cam, Black",4.7,941,$1.99
2021-02-02,90,"TP-Link Deco Mesh WiFi System(Deco M5) –Up to 5,500 sq. ft. Whole Home Coverage and 100+ Devices,WiFi Router/Extender…",4.6,"13,083",$149.99
2021-02-02,91,"All-New Toshiba 32LF221U21 32-inch Smart HD 720p TV - Fire TV Edition, Released 2020",4.7,"11,894",$149.99
2021-02-02,92,"Apple Watch Series 3 (GPS, 42mm) - Space Gray Aluminum Case with Black Sport Band",4.8,"106,212",$199.00
